ID;Descrição;Preço em R$
197;Placa Mãe Keepdata H110-kdgnv, LGA 1151, Giga/nvme/hdmi;372,00
198;Placa-Mãe Brazil PC, Intel LGA 1156, 2 Slots DDR3 - BPC-H55M-V1;418,15
199;Placa-Mãe AsRock, Intel LGA 1151, mATX, DDR4 - H310CM-HG4;395,05
200;Placa-Mãe Duex DX H61Z, Intel 2ª e 3ª Geração LGA 1155, DDR3;358,20
201;Placa Mãe MB H61/B75 1155 DDR3, Rede 100/1000 Rede;319,00
202;Placa-Mãe Asus Prime, Intel, M.2 - H510M-K;739,09
203;Placa Mãe Asus, Ddr4, Celeron, Mini Itx - J4005i-c/br;729,76
204;Placa-Mãe Gigabyte B760m Aorus Elite Ax, Intel LGA 1700, Matx, DDR5, Chipset B760;2.050,00
205;Placa-Mãe Oxy BR, Intel H110 LGA 1151, DDR4;400,80
206;Placa-Mãe Afox, Intel H61 LGA 1155 2ª e 3ª Geração, mATX, DDR3 Até 16GB, VGA e HDMI - IH61-MA5;280,71
207;Placa-Mãe Gigabyte X670e Aorus Master, E-ATX, AMD Am5, DDR5;5.378,14
208;Placa Mãe Afox Ih610d4-ma-v2, Lga 1700, Ddr4 HDMI, Vga Dp M.2 Mini Pci-e;478,71
209;Placa Mãe Afox, A88-ma5, Fm2 Fm2+ Ddr4 HDMI Vga;195,00
210;Placa-Mãe Gigabyte X299 UD4 PRO, Intel LGA 2066, DDR4, RGB, Dual, M.2, USB - X299-UD4-PRO;6.153,15
211;Placa Mãe Msi B760 Tomahawk Wifi, DDR4, ATX, LGA1700;3.509,90
212;Placa-Mãe Gigabyte B550 Aorus Elite V2, AMD AM4, ATX, DDR4;1.745,28
213;Placa Mãe Gigabyte Z790 Aero G, DDR5, ATX, LGA1700;4.789,90
214;Placa-Mãe Goline, Intel LGA 1151, DDR4, VGA - GL-H110-M2;649,00
215;Placa Mãe Msi B760m Mortar Wifi, DDR5, Micro ATX, LGA1700;1.713,61
216;Placa-mãe Asrock Z790m Pg Lightning D4, Intel, Matx, LGA 1700 - DDR4 5333 O.c, Chipset Z790, USB 3.2, Slot M.2;2.906,99
217;Placa Mãe Gigabyte Md72-hb3, LGA 4189, DDR4 ECC, Chipset C621a, Dual Cpu, Para Servidor Xeon;15.704,99
218;Placa Mãe Asus Prime Mini ITX, H510t, DDR4, LGA 1200, Oem;936,00
219;Placa Mãe Arktek AM4, DDR4, VGA, HDMI, Ak-a320m, Eg;379,00
220;Placa-Mãe Afox, Intel 1150, 2xDDR3, HDMI e VGA, 4ª Geração - IH81-MA;587,10
221;Placa-Mãe MSI B550m Pro-VDH, AMD e Intel, Socket  3rd gen AMD Ryzen, e futuro AMD Ryzen ATX, DDR4, Wi-Fi;928,94
222;Placa Mãe Afox, B450-ma-v2, Am4 Dr4, HDMI Vga Dvi M.2;390,51
223;Placa-Mãe Asus ROG Crosshair X670E Gene, AMD AM5, mATX, DDR5;10.059,90
224;Placa Mãe Msi Pro B660m-a, DDR4, M.2 Lga1700, Wi-fi, HDMI/DP;1.499,90
225;Placa-Mãe AsRock X570 Steel Legend, AMD AM4, ATX, DDR4, Wi-Fi, AX, HDMI e DP;3.990,00
226;Placa-mãe Goline, Intel H81 1150, Ddr3 - Gl-h81m-g2;230,00
227;Placa Mãe Gigabyte B650i, Aorus Ultra, Amd Am5, Chipset B650, Iatx, Ddr5 - B650i;2.901,60
228;Placa-Mãe PCWare A520, AMD AM4, mATX, DDR4, DVI-D, HDMI, D-SUB, M.2 - APM-A520G;508,52
229;Placa-Mãe Goldentec, Intel LGA 1155 H61, Box;299,99
230;Placa Mãe Gigabyte Z790m Aorus Elite, DDR5, Micro ATX, LGA 1700;2.575,76
231;Placa-Mãe Gigabyte Z590 D, Intel LGA 1200, DDR4, UD Series;2.780,99
232;Placa-Mãe Oxy, Intel H110 LGA 1151, mATX, DDR3;400,80
233;Placa Mãe Login Com Processador Celeron N4020 - Log-glkd-i2;379,00
234;Placa-Mãe Gigabyte Z690 UD, Intel LGA 1700, ATX, DDR4;1.445,00
235;Placa Mãe Gigabyte Z790 D, LGA 1700, DDR4, Socket;2.227,44
236;Placa-Mãe AsRock, Intel 1200 H510M 10ª Geração, HDV, M.2, 2X DDR4, HDMI, DVI e VGA - H510M-HDV/M.2;690,00
237;Placa Mãe Asrock X370m, Matx Am4 Ddr4, HDMI Usb 3.2;442,71
238;Placa Mãe Gigabyte B760 Aorus Master, Intel  LGA1700, ATX, DDR4, Wi-fi;3.100,00
239;Placa-Mãe Oxy BR, Intel H510 Express LGA 1200;572,76
240;Placa Mae,Biostar B450mx-s,am4,DDR4 4333 O.c, Chipset AMD B450, USB 3.2,Slot M.2,Micro ATX;800,99
241;Biostar Racing Z490gta Evo (lga 1200 - Ddr4 4400 O.c), Chipset Intel Z490, Usb 3.2, Slot M.2 - Atx;2.222,99
242;Placa-Mãe Gigabyte Z790 Aourus Master, Intel LGA 1700, E-ATX, DDR5, Wi-Fi, Bluetooth - Z790 Aorus Master;7.990,00
243;Placa Mãe Afox Ih81-ma2-v6 Socket, LGA 1150, VGA, DDR3;345,90
244;Placa Mãe Asus TUF Gaming B760M-BTF, Intel LGA 1700, mATX, DDR4, RGB - 90MB1E50-M0EAY0;2.299,99
245;Placa Mãe Afox, Am4 Ddr4 HDMI Vga M.2 - B350d4-ma-v2;306,81
